DATA,LABEL,PAGEID
EMPLOYEE,R,7
PAY,R,7
SUB,W,7
Week,W,7
Number:,W,7
Change,W,7
Work,W,7
Obligated,W,8
OF,W,8
CONTRACT,W,8
DDE,W,8
DUBE,W,8
Due:,W,8
Net,W,8
THIS,W,8
TOTAL:,W,8
Ending,W,8
Orders,W,8
No.,W,8
Completed,W,8
RETAINAGE,W,8
RETAINED,W,8
by,W,8
after,W,8
Payments,W,8
INVOICE,R,8
FIPS,R,9
vendor_name,R,9
Total,R,9
CAJUN,R,9
Gross,R,9
Routing,R,9
Account,R,9
Date:,R,9
Amount:,R,9
AMOUNT,R,9
LESS,R,9
ORIGINAL,R,9
DATE,R,9
ACGOUNI,R,9
START,R,10
Number,R,10
PO,R,10
PLEASE,R,10
Lease,R,10
lavoice,R,10
Customer,R,10
Due,R,10
Subtotal,R,10
Order,R,10
Purchase,R,10
EMPLOYEE,R,10
PAY,R,10
SUB,W,10
Week,W,10
Number:,W,10
Change,W,10
Work,W,10
Obligated,W,10
OF,W,10
CONTRACT,W,10
DDE,W,10
DUBE,W,10
Due:,W,10
Net,W,10
THIS,W,10
TOTAL:,W,10
Ending,W,10
Orders,W,10
No.,W,11
Completed,W,11
RETAINAGE,W,11
RETAINED,W,11
by,W,11
after,W,11
Payments,W,11
INVOICE,R,11
FIPS,R,11
vendor_name,R,11
Total,R,11
CAJUN,R,11
Gross,R,11
Routing,R,11
Account,R,11
Date:,R,11
Amount:,R,11
AMOUNT,R,11
LESS,R,11
ORIGINAL,R,11
DATE,R,11
ACGOUNI,R,11
START,R,11
Number,R,11
PO,R,12
PLEASE,R,12
Lease,R,12
lavoice,R,12
Customer,R,12
Due,R,12
Subtotal,R,12
Order,R,12
Purchase,R,12
EMPLOYEE,R,12
PAY,R,12
SUB,W,12
Week,W,12
Number:,W,12
Change,W,12
Work,W,12
Obligated,W,12
OF,W,12
CONTRACT,W,12
DDE,W,12
DUBE,W,12
Due:,W,12
Net,W,12
THIS,W,12
TOTAL:,W,12
Ending,W,12
Orders,W,12
No.,W,12
Completed,W,12
RETAINAGE,W,12
RETAINED,W,12
by,W,13
after,W,13
Payments,W,13
INVOICE,R,13
FIPS,R,13
vendor_name,R,13
Total,R,13
CAJUN,R,13
Gross,R,13
Routing,R,13
Account,R,13
Date:,R,13
Amount:,R,13
AMOUNT,R,13
LESS,R,13
ORIGINAL,R,13
DATE,R,13
ACGOUNI,R,14
START,R,14
Number,R,14
PO,R,14
PLEASE,R,14
Lease,R,14
lavoice,R,14
Customer,R,14
Due,R,14
Subtotal,R,14
Order,R,14
Purchase,R,14
EMPLOYEE,R,14
PAY,R,14
SUB,W,14
Week,W,14
Number:,W,14
Change,W,14
Work,W,14
Obligated,W,14
OF,W,14
CONTRACT,W,14
DDE,W,14
DUBE,W,15
Due:,W,15
Net,W,15
THIS,W,15
TOTAL:,W,15
Ending,W,15
Orders,W,15
No.,W,15
Completed,W,15
RETAINAGE,W,15
RETAINED,W,15
by,W,15
after,W,15
Payments,W,15
INVOICE,R,15
FIPS,R,15
vendor_name,R,15
Total,R,15
CAJUN,R,15
Gross,R,15
Routing,R,15
Account,R,15
Date:,R,15
Amount:,R,15
AMOUNT,R,15
LESS,R,15
ORIGINAL,R,15
DATE,R,16
ACGOUNI,R,16
START,R,16
Number,R,16
PO,R,16
PLEASE,R,16
Lease,R,16
lavoice,R,16
Customer,R,16
Due,R,16
Subtotal,R,16
Order,R,16
Purchase,R,16
EMPLOYEE,R,17
PAY,R,17
SUB,W,17
Week,W,17
Number:,W,17
Change,W,17
Work,W,17
Obligated,W,17
OF,W,17
CONTRACT,W,17
DDE,W,17
DUBE,W,17
Due:,W,17
Net,W,17
THIS,W,17
TOTAL:,W,18
Ending,W,18
Orders,W,18
No.,W,18
Completed,W,18
RETAINAGE,W,18
RETAINED,W,18
by,W,18
after,W,18
Payments,W,18
